Date,StockSymbol,NetTradingValue,InvestorType,TradeDirection
21/08/2026,SHB,137.882565,Nhà đầu tư nước ngoài,Mua ròng
21/08/2026,SSI,71.764275,Nhà đầu tư nước ngoài,Mua ròng
21/08/2026,MSN,50.7547,Nhà đầu tư nước ngoài,Mua ròng
21/08/2026,PNJ,43.08402,Nhà đầu tư nước ngoài,Mua ròng
21/08/2026,VSC,41.393925,Nhà đầu tư nước ngoài,Mua ròng
21/08/2026,TCH,35.398535,Nhà đầu tư nước ngoài,Mua ròng
21/08/2026,CEO,33.9864,Nhà đầu tư nước ngoài,Mua ròng
21/08/2026,VCI,22.971265,Nhà đầu tư nước ngoài,Mua ròng
21/08/2026,KDH,22.73466,Nhà đầu tư nước ngoài,Mua ròng
21/08/2026,PDR,22.447485,Nhà đầu tư nước ngoài,Mua ròng
21/08/2026,VCB,76.69074,Nhà đầu tư nước ngoài,Bán ròng
21/08/2026,BSR,61.961075,Nhà đầu tư nước ngoài,Bán ròng
21/08/2026,GMD,58.58598,Nhà đầu tư nước ngoài,Bán ròng
21/08/2026,VPB,53.930995,Nhà đầu tư nước ngoài,Bán ròng
21/08/2026,PVS,44.62089,Nhà đầu tư nước ngoài,Bán ròng
21/08/2026,DCM,43.221605,Nhà đầu tư nước ngoài,Bán ròng
21/08/2026,VCK,31.258615,Nhà đầu tư nước ngoài,Bán ròng
21/08/2026,HPG,29.140385,Nhà đầu tư nước ngoài,Bán ròng
21/08/2026,VIC,27.82712,Nhà đầu tư nước ngoài,Bán ròng
21/08/2026,PLX,23.913665,Nhà đầu tư nước ngoài,Bán ròng
21/08/2026,FPT,35.04469,Tự doanh,Mua ròng
21/08/2026,MWG,30.591614,Tự doanh,Mua ròng
21/08/2026,MBB,26.26142,Tự doanh,Mua ròng
21/08/2026,MSN,16.7992,Tự doanh,Mua ròng
21/08/2026,HPG,15.371005,Tự doanh,Mua ròng
21/08/2026,LPB,15.004115,Tự doanh,Mua ròng
21/08/2026,STB,13.94755,Tự doanh,Mua ròng
21/08/2026,VIC,11.94279,Tự doanh,Mua ròng
21/08/2026,VPB,11.194585,Tự doanh,Mua ròng
21/08/2026,CTG,10.0354,Tự doanh,Mua ròng
21/08/2026,SSI,10.962305,Tự doanh,Bán ròng
21/08/2026,TCB,7.431415,Tự doanh,Bán ròng
21/08/2026,SHB,6.335366,Tự doanh,Bán ròng
21/08/2026,FRT,4.8979,Tự doanh,Bán ròng
21/08/2026,BID,3.935385,Tự doanh,Bán ròng
21/08/2026,POW,2.675,Tự doanh,Bán ròng
21/08/2026,HT1,2.435505,Tự doanh,Bán ròng
21/08/2026,DBC,1.85507,Tự doanh,Bán ròng
21/08/2026,VRE,1.67936,Tự doanh,Bán ròng
21/08/2026,HCM,1.63568,Tự doanh,Bán ròng
